epoch	loss	time	comulative_time
0	4.47753	2.53629	2.53629
1	4.31149	2.285577	4.821867
2	4.21507	2.4605	7.282367
3	4.13975	2.362481	9.644848
4	4.07928	2.364635	12.009483
5	4.02841	2.399639	14.409122
6	3.98613	2.388133	16.797255
7	3.94787	2.465954	19.263209
8	3.91422	2.421316	21.684525
9	3.88377	2.471204	24.155729
10	3.85631	2.515449	26.671178
11	3.83189	2.502305	29.173483
12	3.80911	2.526098	31.699581
13	3.78799	2.790992	34.490573
14	3.76804	2.880656	37.371229
15	3.74956	2.663047	40.034276
16	3.73234	2.56471	42.598986
17	3.71619	2.610031	45.209017
18	3.70061	2.560483	47.7695
19	3.68606	3.013468	50.782968
20	3.67206	2.694192	53.47716
21	3.65874	3.165149	56.642309
22	3.64634	3.378999	60.021308
23	3.63406	3.216391	63.237699
24	3.62285	2.832193	66.069892
25	3.61175	3.031368	69.10126
26	3.60086	3.559824	72.661084
27	3.59051	3.183661	75.844745
28	3.58068	3.329776	79.174521
29	3.57114	3.305137	82.479658
30	3.56174	3.017799	85.497457
31	3.55271	2.965834	88.463291
32	3.54387	2.973055	91.436346
33	3.53555	3.009302	94.445648
34	3.52751	3.011227	97.456875
35	3.51952	3.012001	100.468876
36	3.51175	3.119795	103.588671
37	3.50445	3.121718	106.710389
38	3.49727	3.092729	109.803118
39	3.49026	3.052151	112.855269
40	3.48339	3.018765	115.874034
41	3.47673	3.152514	119.026548
42	3.47017	3.089457	122.116005
43	3.46382	3.153675	125.26968
44	3.45749	3.154273	128.423953
45	3.45130	3.240792	131.664745
46	3.44543	3.224977	134.889722
47	3.43942	3.251022	138.140744
48	3.43373	3.34826	141.489004
49	3.42800	3.445188	144.934192
50	3.42248	3.317244	148.251436
51	3.41706	3.302132	151.553568
52	3.41181	3.323176	154.876744
53	3.40671	3.447174	158.323918
54	3.40151	3.416918	161.740836
55	3.39657	3.518052	165.258888
56	3.39173	3.915698	169.174586
57	3.38690	4.253247	173.427833
58	3.38234	4.195046	177.622879
59	3.37768	4.215377	181.838256
60	3.37317	4.708021	186.546277
61	3.36875	3.975579	190.521856
62	3.36444	3.802493	194.324349
63	3.36008	4.008155	198.332504
64	3.35571	4.123119	202.455623
65	3.35156	3.806764	206.262387
66	3.34748	3.850349	210.112736
67	3.34334	3.857121	213.969857
68	3.33930	3.824553	217.79441
69	3.33527	3.876465	221.670875
70	3.33120	3.964123	225.634998
71	3.32721	3.856246	229.491244
72	3.32330	3.908646	233.39989
73	3.31947	3.840267	237.240157
74	3.31567	3.95381	241.193967
75	3.31194	4.085086	245.279053
76	3.30825	4.002756	249.281809
77	3.30452	4.164824	253.446633
78	3.30102	4.128615	257.575248
79	3.29747	4.272588	261.847836
80	3.29389	4.636071	266.483907
81	3.29053	4.500658	270.984565
82	3.28713	5.39156	276.376125
83	3.28377	5.934708	282.310833
84	3.28047	4.389791	286.700624
85	3.27719	4.118372	290.818996
86	3.27392	4.212925	295.031921
87	3.27081	4.314009	299.34593
88	3.26754	4.42165	303.76758
89	3.26439	4.25737	308.02495
90	3.26134	4.330868	312.355818
91	3.25834	4.307124	316.662942
92	3.25533	4.385712	321.048654
93	3.25236	4.602344	325.650998
94	3.24943	4.52583	330.176828
95	3.24648	4.949598	335.126426
96	3.24346	6.110151	341.236577
97	3.24063	6.455897	347.692474
98	3.23779	5.045109	352.737583
99	3.23496	4.633656	357.371239
